order_id,date,product,category,price,quantity,total_sales,customer_name,customer_location,payment_method,status
ORD0001,2025-04-15,Smartphone,Electronics,507,1,507,Isabella Taylor,New York,Debit Card,Completed
ORD0002,2025-04-13,T-Shirt,Clothing,20,5,100,Michael Smith,Denver,Gift Card,Pending
ORD0003,2025-03-06,Running Shoes,Footwear,63,1,63,Liam Doe,Miami,Credit Card,Completed
ORD0004,2025-02-03,Smartphone,Electronics,501,3,1503,Daniel Doe,Seattle,Debit Card,Pending
ORD0005,2025-03-23,Refrigerator,Home Appliances,1226,1,1226,Chris White,Boston,PayPal,Completed
ORD0006,2025-04-03,Running Shoes,Footwear,62,3,186,Chris White,Denver,Gift Card,Completed
ORD0007,2025-03-08,Laptop,Electronics,770,1,770,Sophia White,Boston,PayPal,Pending
ORD0008,2025-03-12,Smartphone,Electronics,502,1,502,Ava Anderson,Dallas,Debit Card,Cancelled
ORD0009,2025-04-09,Running Shoes,Footwear,59,3,177,Alex Wilson,Los Angeles,Amazon Pay,Completed
ORD0010,2025-02-07,Smartwatch,Electronics,156,1,156,Chris Wilson,Chicago,Gift Card,Completed
ORD0011,2025-02-11,Book,Books,16,1,16,Isabella Doe,Dallas,Credit Card,Completed
ORD0012,2025-04-25,Smartphone,Electronics,482,3,1446,Michael Miller,Seattle,Debit Card,Pending
ORD0013,2025-02-27,Washing Machine,Home Appliances,590,1,590,Emily Doe,Houston,Credit Card,Completed
ORD0014,2025-04-11,Washing Machine,Home Appliances,579,2,1158,Lucas White,Houston,Gift Card,Pending
ORD0015,2025-04-01,Smartwatch,Electronics,151,4,604,Isabella Johnson,Denver,Gift Card,Completed
ORD0016,2025-03-20,Jeans,Clothing,40,2,80,Chris Harris,Boston,Amazon Pay,Completed
ORD0017,2025-03-01,Running Shoes,Footwear,60,4,240,Michael Garcia,Denver,PayPal,Completed
ORD0018,2025-02-16,Laptop,Electronics,777,1,777,Noah Harris,Houston,Debit Card,Pending
ORD0019,2025-03-07,Smartphone,Electronics,497,1,497,Noah Miller,San Francisco,PayPal,Completed
ORD0020,2025-04-02,Book,Books,15,1,15,Mia Wilson,New York,Debit Card,Completed
ORD0021,2025-03-28,Washing Machine,Home Appliances,585,2,1170,David Johnson,Seattle,Debit Card,Pending
ORD0022,2025-03-09,Smartwatch,Electronics,156,4,624,Jane Brown,Seattle,Gift Card,Completed
ORD0023,2025-02-09,Smartwatch,Electronics,150,1,150,Michael Taylor,Houston,Credit Card,Pending
ORD0024,2025-02-25,Smartwatch,Electronics,156,1,156,Mia Clark,Houston,PayPal,Cancelled
ORD0025,2025-04-21,Jeans,Clothing,42,5,210,David Taylor,New York,Credit Card,Completed
ORD0026,2025-04-03,Running Shoes,Footwear,58,4,232,Alex Garcia,Seattle,Amazon Pay,Completed
ORD0027,2025-02-22,T-Shirt,Clothing,21,5,105,Noah Garcia,New York,Amazon Pay,Completed
ORD0028,2025-02-04,Running Shoes,Footwear,60,2,120,Emma Harris,Los Angeles,Gift Card,Completed
ORD0029,2025-02-23,Headphones,Electronics,101,2,202,Sophia Taylor,Denver,Credit Card,Pending
ORD0030,2025-04-07,Jeans,Clothing,38,2,76,Michael Martinez,Chicago,Credit Card,Completed
ORD0031,2025-03-03,Refrigerator,Home Appliances,1217,1,1217,Lucas White,Denver,Debit Card,Completed
ORD0032,2025-02-12,Laptop,Electronics,826,3,2478,Olivia Taylor,New York,Credit Card,Completed
ORD0033,2025-02-16,Book,Books,15,2,30,Emma Clark,Denver,Credit Card,Pending
ORD0034,2025-04-06,T-Shirt,Clothing,20,5,100,Emily White,Chicago,Debit Card,Completed
ORD0035,2025-03-15,Headphones,Electronics,95,2,190,Daniel White,Denver,Debit Card,Completed
ORD0036,2025-04-12,Running Shoes,Footwear,60,3,180,Ethan Taylor,Chicago,Amazon Pay,Completed
ORD0037,2025-03-05,Washing Machine,Home Appliances,600,5,3000,Sophia Anderson,Houston,Gift Card,Cancelled
ORD0038,2025-03-27,T-Shirt,Clothing,19,4,76,Emma Lee,Los Angeles,Amazon Pay,Completed
ORD0039,2025-04-11,Book,Books,15,5,75,Isabella Taylor,Miami,Debit Card,Pending
ORD0040,2025-02-17,Running Shoes,Footwear,62,3,186,Alex Clark,New York,Debit Card,Completed
ORD0041,2025-02-03,Laptop,Electronics,799,3,2397,Isabella Johnson,Boston,PayPal,Cancelled
ORD0042,2025-04-28,Jeans,Clothing,39,2,78,Chris Doe,Seattle,Amazon Pay,Completed
ORD0043,2025-03-26,T-Shirt,Clothing,20,2,40,Jane Johnson,Miami,Credit Card,Pending
ORD0044,2025-04-02,Smartphone,Electronics,487,1,487,Emma Johnson,Miami,Amazon Pay,Completed
ORD0045,2025-04-28,Refrigerator,Home Appliances,1200,4,4800,Olivia Lee,Boston,Credit Card,Pending
ORD0046,2025-02-11,Running Shoes,Footwear,60,4,240,Emma Miller,Los Angeles,PayPal,Pending
ORD0047,2025-03-03,Running Shoes,Footwear,58,3,174,Ethan Harris,Boston,Gift Card,Completed
ORD0048,2025-04-11,T-Shirt,Clothing,20,2,40,Daniel Brown,San Francisco,Credit Card,Pending
ORD0049,2025-04-22,Refrigerator,Home Appliances,1235,2,2470,Daniel White,Chicago,Gift Card,Cancelled
ORD0050,2025-03-27,T-Shirt,Clothing,21,2,42,David Smith,Denver,PayPal,Completed
ORD0051,2025-02-04,Smartwatch,Electronics,148,1,148,John Clark,Dallas,Credit Card,Pending
ORD0052,2025-02-20,Book,Books,16,5,80,Ethan Clark,Boston,PayPal,Completed
ORD0053,2025-04-08,Book,Books,15,1,15,Jane Anderson,Denver,Debit Card,Completed
ORD0054,2025-02-13,Jeans,Clothing,42,1,42,Noah Brown,Denver,Debit Card,Completed
ORD0055,2025-04-09,Smartwatch,Electronics,145,5,725,Chris Garcia,Denver,Amazon Pay,Completed
ORD0056,2025-03-27,Smartphone,Electronics,500,2,1000,Sophia Martinez,Seattle,Gift Card,Completed
ORD0057,2025-04-12,Washing Machine,Home Appliances,602,1,602,Emma Martinez,Dallas,PayPal,Cancelled
ORD0058,2025-04-29,Headphones,Electronics,99,3,297,Daniel Smith,Dallas,Credit Card,Pending
ORD0059,2025-02-12,T-Shirt,Clothing,21,2,42,Liam Harris,Los Angeles,Amazon Pay,Cancelled
ORD0060,2025-03-05,Smartwatch,Electronics,145,2,290,Ava Miller,Dallas,Amazon Pay,Pending
ORD0061,2025-03-12,Laptop,Electronics,829,4,3316,Mia Johnson,Los Angeles,Amazon Pay,Completed
ORD0062,2025-03-14,Refrigerator,Home Appliances,1232,1,1232,Michael Lee,San Francisco,Debit Card,Completed
ORD0063,2025-03-07,Laptop,Electronics,773,1,773,Daniel Miller,Chicago,Debit Card,Completed
ORD0064,2025-04-02,Running Shoes,Footwear,58,1,58,Liam Brown,New York,PayPal,Completed
ORD0065,2025-03-16,Running Shoes,Footwear,58,4,232,Ethan Anderson,Miami,Debit Card,Completed
ORD0066,2025-02-27,Jeans,Clothing,40,3,120,Ethan Lee,Houston,Debit Card,Pending
ORD0067,2025-03-28,Jeans,Clothing,40,4,160,Daniel Doe,Houston,Amazon Pay,Cancelled
ORD0068,2025-03-29,Running Shoes,Footwear,63,4,252,Ava Anderson,Miami,Credit Card,Pending
ORD0069,2025-04-27,Running Shoes,Footwear,63,1,63,Daniel Wilson,Houston,Debit Card,Completed
ORD0070,2025-02-26,Smartphone,Electronics,500,2,1000,Noah Miller,Boston,Debit Card,Completed
ORD0071,2025-04-18,Laptop,Electronics,776,2,1552,Noah Wilson,Chicago,Credit Card,Cancelled
ORD0072,2025-02-06,Headphones,Electronics,97,2,194,Isabella Johnson,San Francisco,Amazon Pay,Cancelled
ORD0073,2025-03-27,Smartwatch,Electronics,146,1,146,Liam Clark,Los Angeles,PayPal,Completed
ORD0074,2025-02-13,Refrigerator,Home Appliances,1215,1,1215,Emily Wilson,Houston,Debit Card,Completed
