Order ID,Date,Product,Category,Price,Quantity,Total Sales,Customer Name,Customer Location,Payment Method,Status
ORD0001,15-04-25,Smartphone,Electronics,507,1,507,Isabella Taylor,New York,Debit Card,Completed
ORD0002,13-04-25,T-Shirt,Clothing,20,5,100,Michael Smith,Denver,Gift Card,Pending
ORD0003,06-03-25,Running Shoes,Footwear,63,1,63,Liam Doe,Miami,Credit Card,Completed
ORD0004,03-02-25,Smartphone,Electronics,501,3,1503,Daniel Doe,Seattle,Debit Card,Pending
ORD0005,23-03-25,Refrigerator,Home Appliances,1226,1,1226,Chris White,Boston,PayPal,Completed
ORD0006,03-04-25,Running Shoes,Footwear,62,3,186,Chris White,Denver,Gift Card,Completed
ORD0007,08-03-25,Laptop,Electronics,770,1,770,Sophia White,Boston,PayPal,Pending
ORD0008,12-03-25,Smartphone,Electronics,502,1,502,Ava Anderson,Dallas,Debit Card,Cancelled
ORD0009,09-04-25,Running Shoes,Footwear,59,3,177,Alex Wilson,Los Angeles,Amazon Pay,Completed
ORD0010,07-02-25,Smartwatch,Electronics,156,1,156,Chris Wilson,Chicago,Gift Card,Completed
ORD0011,11-02-25,Book,Books,16,1,16,Isabella Doe,Dallas,Credit Card,Completed
ORD0012,25-04-25,Smartphone,Electronics,482,3,1446,Michael Miller,Seattle,Debit Card,Pending
ORD0013,27-02-25,Washing Machine,Home Appliances,590,1,590,Emily Doe,Houston,Credit Card,Completed
ORD0014,11-04-25,Washing Machine,Home Appliances,579,2,1158,Lucas White,Houston,Gift Card,Pending
ORD0015,01-04-25,Smartwatch,Electronics,151,4,604,Isabella Johnson,Denver,Gift Card,Completed
ORD0016,20-03-25,Jeans,Clothing,40,2,80,Chris Harris,Boston,Amazon Pay,Completed
ORD0017,01-03-25,Running Shoes,Footwear,60,4,240,Michael Garcia,Denver,PayPal,Completed
ORD0018,16-02-25,Laptop,Electronics,777,1,777,Noah Harris,Houston,Debit Card,Pending
ORD0019,07-03-25,Smartphone,Electronics,497,1,497,Noah Miller,San Francisco,PayPal,Completed
ORD0020,02-04-25,Book,Books,15,1,15,Mia Wilson,New York,Debit Card,Completed
ORD0021,28-03-25,Washing Machine,Home Appliances,585,2,1170,David Johnson,Seattle,Debit Card,Pending
ORD0022,09-03-25,Smartwatch,Electronics,156,4,624,Jane Brown,Seattle,Gift Card,Completed
ORD0023,09-02-25,Smartwatch,Electronics,150,1,150,Michael Taylor,Houston,Credit Card,Pending
ORD0024,25-02-25,Smartwatch,Electronics,156,1,156,Mia Clark,Houston,PayPal,Cancelled
ORD0025,21-04-25,Jeans,Clothing,42,5,210,David Taylor,New York,Credit Card,Completed
ORD0026,03-04-25,Running Shoes,Footwear,58,4,232,Alex Garcia,Seattle,Amazon Pay,Completed
ORD0027,22-02-25,T-Shirt,Clothing,21,5,105,Noah Garcia,New York,Amazon Pay,Completed
ORD0028,04-02-25,Running Shoes,Footwear,60,2,120,Emma Harris,Los Angeles,Gift Card,Completed
ORD0029,23-02-25,Headphones,Electronics,101,2,202,Sophia Taylor,Denver,Credit Card,Pending
ORD0030,07-04-25,Jeans,Clothing,38,2,76,Michael Martinez,Chicago,Credit Card,Completed
ORD0031,03-03-25,Refrigerator,Home Appliances,1217,1,1217,Lucas White,Denver,Debit Card,Completed
ORD0032,12-02-25,Laptop,Electronics,826,3,2478,Olivia Taylor,New York,Credit Card,Completed
ORD0033,16-02-25,Book,Books,15,2,30,Emma Clark,Denver,Credit Card,Pending
ORD0034,06-04-25,T-Shirt,Clothing,20,5,100,Emily White,Chicago,Debit Card,Completed
ORD0035,15-03-25,Headphones,Electronics,95,2,190,Daniel White,Denver,Debit Card,Completed
ORD0036,12-04-25,Running Shoes,Footwear,60,3,180,Ethan Taylor,Chicago,Amazon Pay,Completed
ORD0037,05-03-25,Washing Machine,Home Appliances,600,5,3000,Sophia Anderson,Houston,Gift Card,Cancelled
ORD0038,27-03-25,T-Shirt,Clothing,19,4,76,Emma Lee,Los Angeles,Amazon Pay,Completed
ORD0039,11-04-25,Book,Books,15,5,75,Isabella Taylor,Miami,Debit Card,Pending
ORD0040,17-02-25,Running Shoes,Footwear,62,3,186,Alex Clark,New York,Debit Card,Completed
ORD0041,03-02-25,Laptop,Electronics,799,3,2397,Isabella Johnson,Boston,PayPal,Cancelled
ORD0042,28-04-25,Jeans,Clothing,39,2,78,Chris Doe,Seattle,Amazon Pay,Completed
ORD0043,26-03-25,T-Shirt,Clothing,20,2,40,Jane Johnson,Miami,Credit Card,Pending
ORD0044,02-04-25,Smartphone,Electronics,487,1,487,Emma Johnson,Miami,Amazon Pay,Completed
ORD0045,28-04-25,Refrigerator,Home Appliances,1200,4,4800,Olivia Lee,Boston,Credit Card,Pending
ORD0046,11-02-25,Running Shoes,Footwear,60,4,240,Emma Miller,Los Angeles,PayPal,Pending
ORD0047,03-03-25,Running Shoes,Footwear,58,3,174,Ethan Harris,Boston,Gift Card,Completed
ORD0048,11-04-25,T-Shirt,Clothing,20,2,40,Daniel Brown,San Francisco,Credit Card,Pending
ORD0049,22-04-25,Refrigerator,Home Appliances,1235,2,2470,Daniel White,Chicago,Gift Card,Cancelled
ORD0050,27-03-25,T-Shirt,Clothing,21,2,42,David Smith,Denver,PayPal,Completed
ORD0051,04-02-25,Smartwatch,Electronics,148,1,148,John Clark,Dallas,Credit Card,Pending
ORD0052,20-02-25,Book,Books,16,5,80,Ethan Clark,Boston,PayPal,Completed
ORD0053,08-04-25,Book,Books,15,1,15,Jane Anderson,Denver,Debit Card,Completed
ORD0054,13-02-25,Jeans,Clothing,42,1,42,Noah Brown,Denver,Debit Card,Completed
ORD0055,09-04-25,Smartwatch,Electronics,145,5,725,Chris Garcia,Denver,Amazon Pay,Completed
ORD0056,27-03-25,Smartphone,Electronics,500,2,1000,Sophia Martinez,Seattle,Gift Card,Completed
ORD0057,12-04-25,Washing Machine,Home Appliances,602,1,602,Emma Martinez,Dallas,PayPal,Cancelled
ORD0058,29-04-25,Headphones,Electronics,99,3,297,Daniel Smith,Dallas,Credit Card,Pending
ORD0059,12-02-25,T-Shirt,Clothing,21,2,42,Liam Harris,Los Angeles,Amazon Pay,Cancelled
ORD0060,05-03-25,Smartwatch,Electronics,145,2,290,Ava Miller,Dallas,Amazon Pay,Pending
ORD0061,12-03-25,Laptop,Electronics,829,4,3316,Mia Johnson,Los Angeles,Amazon Pay,Completed
ORD0062,14-03-25,Refrigerator,Home Appliances,1232,1,1232,Michael Lee,San Francisco,Debit Card,Completed
ORD0063,07-03-25,Laptop,Electronics,773,1,773,Daniel Miller,Chicago,Debit Card,Completed
ORD0064,02-04-25,Running Shoes,Footwear,58,1,58,Liam Brown,New York,PayPal,Completed
ORD0065,16-03-25,Running Shoes,Footwear,58,4,232,Ethan Anderson,Miami,Debit Card,Completed
ORD0066,27-02-25,Jeans,Clothing,40,3,120,Ethan Lee,Houston,Debit Card,Pending
ORD0067,28-03-25,Jeans,Clothing,40,4,160,Daniel Doe,Houston,Amazon Pay,Cancelled
ORD0068,29-03-25,Running Shoes,Footwear,63,4,252,Ava Anderson,Miami,Credit Card,Pending
ORD0069,27-04-25,Running Shoes,Footwear,63,1,63,Daniel Wilson,Houston,Debit Card,Completed
ORD0070,26-02-25,Smartphone,Electronics,500,2,1000,Noah Miller,Boston,Debit Card,Completed
ORD0071,18-04-25,Laptop,Electronics,776,2,1552,Noah Wilson,Chicago,Credit Card,Cancelled
ORD0072,06-02-25,Headphones,Electronics,97,2,194,Isabella Johnson,San Francisco,Amazon Pay,Cancelled
ORD0073,27-03-25,Smartwatch,Electronics,146,1,146,Liam Clark,Los Angeles,PayPal,Completed
ORD0074,13-02-25,Refrigerator,Home Appliances,1215,1,1215,Emily Wilson,Houston,Debit Card,Completed
ORD0075,13-04-25,Washing Machine,Home Appliances,626,1,626,Noah Taylor,San Francisco,Credit Card,Completed
ORD0076,28-03-25,Smartwatch,Electronics,151,1,151,Ava Johnson,San Francisco,Credit Card,Completed
ORD0077,04-02-25,Jeans,Clothing,38,2,76,Isabella Lee,San Francisco,Credit Card,Pending
ORD0078,18-02-25,Smartphone,Electronics,518,5,2590,Ethan Doe,Boston,Gift Card,Cancelled
ORD0079,21-03-25,Washing Machine,Home Appliances,615,1,615,Daniel Wilson,Boston,Credit Card,Completed
ORD0080,26-02-25,Laptop,Electronics,819,1,819,Daniel Clark,Seattle,Amazon Pay,Completed
ORD0081,23-04-25,Headphones,Electronics,96,1,96,Daniel Garcia,Seattle,Gift Card,Completed
ORD0082,19-04-25,Smartwatch,Electronics,144,1,144,David White,Denver,PayPal,Completed
ORD0083,05-04-25,Washing Machine,Home Appliances,598,1,598,Ava Harris,San Francisco,Debit Card,Pending
ORD0084,01-02-25,Smartwatch,Electronics,146,3,438,John Doe,San Francisco,Gift Card,Completed
ORD0085,25-03-25,Headphones,Electronics,105,3,315,Ethan Smith,San Francisco,Gift Card,Completed
ORD0086,24-03-25,Smartphone,Electronics,501,1,501,Ethan Johnson,Boston,Credit Card,Pending
ORD0087,28-03-25,Washing Machine,Home Appliances,589,1,589,Daniel Wilson,Boston,Amazon Pay,Pending
ORD0088,19-03-25,Laptop,Electronics,790,1,790,Daniel Brown,Boston,Amazon Pay,Completed
ORD0089,16-02-25,Smartwatch,Electronics,150,1,150,Isabella Taylor,Dallas,Debit Card,Cancelled
ORD0090,11-03-25,Book,Books,16,4,64,Daniel Smith,Miami,Credit Card,Completed
ORD0091,02-03-25,Washing Machine,Home Appliances,628,1,628,Emily Miller,Dallas,Credit Card,Completed
ORD0092,05-03-25,Running Shoes,Footwear,57,2,114,Michael Brown,New York,Debit Card,Completed
ORD0093,10-02-25,Washing Machine,Home Appliances,604,2,1208,Ethan Lee,Houston,Credit Card,Pending
ORD0094,03-03-25,Laptop,Electronics,770,1,770,Alex Garcia,Houston,Amazon Pay,Completed
ORD0095,26-03-25,Refrigerator,Home Appliances,1242,1,1242,Daniel Smith,Denver,Debit Card,Pending
ORD0096,20-04-25,Headphones,Electronics,98,1,98,Daniel Anderson,Miami,Debit Card,Pending
ORD0097,25-02-25,Smartphone,Electronics,504,3,1512,Jane Lee,Boston,PayPal,Completed
ORD0098,18-02-25,Washing Machine,Home Appliances,610,1,610,Olivia Anderson,Seattle,Credit Card,Completed
ORD0099,18-03-25,Jeans,Clothing,41,1,41,Noah Johnson,Dallas,Debit Card,Completed
ORD0100,21-04-25,Smartwatch,Electronics,152,2,304,Noah Martinez,New York,Gift Card,Completed
ORD0101,23-04-25,Smartphone,Electronics,515,3,1545,John Martinez,Dallas,Amazon Pay,Completed
ORD0102,07-04-25,T-Shirt,Clothing,21,5,105,Ava Taylor,Los Angeles,Debit Card,Completed
ORD0103,12-02-25,Book,Books,14,1,14,David Doe,Chicago,PayPal,Completed
ORD0104,17-02-25,Smartphone,Electronics,486,5,2430,Isabella Doe,San Francisco,Gift Card,Completed
ORD0105,08-03-25,Washing Machine,Home Appliances,579,1,579,Emma Brown,San Francisco,Credit Card,Completed
ORD0106,10-02-25,Running Shoes,Footwear,62,1,62,Jane Smith,Boston,PayPal,Completed
ORD0107,03-04-25,T-Shirt,Clothing,20,5,100,Emily Johnson,Boston,Amazon Pay,Completed
ORD0108,08-03-25,Jeans,Clothing,40,5,200,Chris Anderson,Houston,PayPal,Completed
ORD0109,15-04-25,Smartwatch,Electronics,143,1,143,Ethan Martinez,Houston,Debit Card,Completed
ORD0110,10-03-25,Laptop,Electronics,829,3,2487,Noah White,Boston,Debit Card,Pending
ORD0111,18-02-25,Smartwatch,Electronics,155,3,465,Liam Miller,New York,Debit Card,Pending
ORD0112,02-02-25,Washing Machine,Home Appliances,585,4,2340,Daniel Brown,Miami,PayPal,Completed
ORD0113,22-03-25,Smartphone,Electronics,496,2,992,David Miller,Houston,Gift Card,Completed
ORD0114,01-04-25,Jeans,Clothing,42,4,168,Noah White,Denver,Amazon Pay,Cancelled
ORD0115,14-04-25,T-Shirt,Clothing,21,1,21,Alex Wilson,Houston,PayPal,Pending
ORD0116,17-03-25,Smartphone,Electronics,509,5,2545,Olivia Johnson,New York,Debit Card,Pending
ORD0117,16-03-25,Jeans,Clothing,39,5,195,Emma Lee,Boston,Debit Card,Completed
ORD0118,23-02-25,Washing Machine,Home Appliances,625,1,625,Michael Garcia,Chicago,PayPal,Pending
ORD0119,15-03-25,Refrigerator,Home Appliances,1218,1,1218,Alex Johnson,New York,PayPal,Completed
ORD0120,27-03-25,Smartphone,Electronics,520,1,520,John Wilson,Los Angeles,Gift Card,Pending
ORD0121,02-02-25,Laptop,Electronics,827,5,4135,Sophia Johnson,Denver,Credit Card,Completed
ORD0122,25-04-25,Book,Books,16,1,16,Emily Miller,Los Angeles,Amazon Pay,Completed
ORD0123,13-03-25,Jeans,Clothing,39,4,156,Olivia Johnson,Dallas,Debit Card,Completed
ORD0124,25-04-25,Running Shoes,Footwear,58,5,290,Isabella Martinez,Miami,Gift Card,Cancelled
ORD0125,12-02-25,Laptop,Electronics,811,3,2433,Emma Martinez,Boston,PayPal,Pending
ORD0126,18-03-25,T-Shirt,Clothing,19,5,95,David Anderson,Boston,Gift Card,Completed
ORD0127,31-03-25,Smartwatch,Electronics,155,4,620,Noah Anderson,Boston,Amazon Pay,Completed
ORD0128,28-02-25,Running Shoes,Footwear,61,2,122,Lucas Johnson,Seattle,PayPal,Completed
ORD0129,22-02-25,T-Shirt,Clothing,20,2,40,Emma Doe,Los Angeles,Credit Card,Completed
ORD0130,15-03-25,Smartphone,Electronics,485,2,970,Emily Taylor,Chicago,PayPal,Completed
ORD0131,13-03-25,Smartphone,Electronics,488,5,2440,Sophia White,Los Angeles,Debit Card,Completed
ORD0132,28-02-25,T-Shirt,Clothing,20,1,20,Chris Wilson,Boston,Debit Card,Completed
ORD0133,18-02-25,Book,Books,14,3,42,Daniel Doe,Boston,Credit Card,Completed
ORD0134,20-03-25,Laptop,Electronics,835,3,2505,Daniel White,Chicago,PayPal,Completed
ORD0135,14-04-25,Washing Machine,Home Appliances,585,1,585,Daniel Brown,Boston,Gift Card,Completed
ORD0136,21-03-25,Smartwatch,Electronics,150,4,600,Lucas Brown,Boston,PayPal,Completed
ORD0137,27-02-25,Washing Machine,Home Appliances,594,1,594,Olivia Brown,Dallas,Credit Card,Completed
ORD0138,23-02-25,Running Shoes,Footwear,62,1,62,Emily Miller,Dallas,Credit Card,Completed
ORD0139,24-02-25,Headphones,Electronics,96,1,96,Chris Doe,Houston,PayPal,Completed
ORD0140,08-02-25,Jeans,Clothing,41,4,164,Ethan White,Houston,Debit Card,Cancelled
ORD0141,08-03-25,T-Shirt,Clothing,20,5,100,Emma Anderson,New York,PayPal,Completed
ORD0142,05-03-25,Washing Machine,Home Appliances,597,1,597,Alex Brown,New York,Amazon Pay,Pending
ORD0143,05-02-25,Running Shoes,Footwear,61,3,183,Noah Wilson,Dallas,Gift Card,Completed
ORD0144,06-03-25,Smartphone,Electronics,498,2,996,Sophia Lee,Seattle,PayPal,Pending
ORD0145,22-02-25,Laptop,Electronics,764,1,764,David Wilson,Denver,PayPal,Completed
ORD0146,09-04-25,Jeans,Clothing,41,5,205,Alex White,San Francisco,Debit Card,Completed
ORD0147,29-04-25,Jeans,Clothing,40,3,120,Mia Anderson,Boston,Debit Card,Completed
ORD0148,10-02-25,Book,Books,15,2,30,Emily Miller,Houston,Credit Card,Completed
ORD0149,20-03-25,Washing Machine,Home Appliances,574,2,1148,Daniel Brown,Seattle,Credit Card,Cancelled
ORD0150,16-04-25,Running Shoes,Footwear,58,3,174,Mia Brown,Houston,PayPal,Completed
ORD0151,04-03-25,Headphones,Electronics,102,1,102,Daniel Miller,San Francisco,Credit Card,Completed
ORD0152,29-04-25,Book,Books,15,5,75,Noah Clark,New York,Amazon Pay,Completed
ORD0153,03-02-25,Smartphone,Electronics,487,1,487,Emily Anderson,Denver,Credit Card,Completed
ORD0154,17-03-25,Laptop,Electronics,837,1,837,Lucas White,Denver,Debit Card,Completed
ORD0155,09-02-25,Smartwatch,Electronics,157,2,314,Olivia Johnson,Miami,Debit Card,Completed
ORD0156,25-03-25,Smartphone,Electronics,491,1,491,David Doe,Miami,Gift Card,Cancelled
ORD0157,11-02-25,Headphones,Electronics,99,5,495,Daniel Brown,Los Angeles,Gift Card,Completed
ORD0158,24-03-25,Running Shoes,Footwear,57,4,228,John Doe,Dallas,Debit Card,Completed
